"opp","biopharm","ustwin","patus","patgsgr","year","ncit","ncountry","nclaims"
0,0,1,1,0,1981,0,3,4
0,0,1,0,1,1982,0,5,8
0,0,1,0,0,1984,0,4,5
0,1,0,0,1,1983,1,10,3
0,0,0,0,1,1982,1,3,9
1,1,0,1,0,1985,0,10,10
0,0,1,1,0,1983,0,8,11
1,1,1,1,0,1981,3,5,9
0,1,1,0,1,1982,0,11,15
0,0,1,0,0,1982,0,3,11
1,0,1,0,0,1983,4,4,10
1,1,1,0,1,1982,1,11,7
0,0,0,0,1,1982,3,4,2
1,1,1,0,1,1983,5,11,12
1,1,1,0,0,1985,1,9,5
1,0,1,0,0,1983,5,3,1
0,0,1,1,0,1984,5,3,11
0,1,0,0,1,1981,2,10,10
1,0,1,0,0,1983,2,4,12
1,1,1,0,0,1983,7,5,22
1,1,1,0,1,1984,3,10,10
1,0,0,0,1,1984,5,6,14
0,0,1,1,0,1985,0,4,6
1,0,1,0,1,1982,0,4,8
0,0,1,0,1,1985,0,2,5
1,0,0,0,1,1983,1,8,6
1,1,1,0,1,1984,0,11,5
0,0,1,1,0,1983,3,3,8
1,0,1,0,1,1982,1,11,6
0,0,1,0,1,1983,3,7,35
0,0,1,0,0,1983,1,3,7
1,0,1,0,0,1982,3,5,4
0,0,1,1,0,1983,1,4,14
0,0,0,1,0,1983,5,3,14
1,0,0,0,1,1983,1,10,6
0,1,0,1,0,1983,4,11,12
0,1,0,1,0,1986,0,11,15
1,0,1,0,0,1984,0,5,7
0,0,1,0,1,1982,4,6,10
0,0,0,1,0,1983,4,6,10
0,0,1,0,1,1984,2,7,8
0,0,0,1,0,1983,2,3,7
1,0,1,0,1,1987,1,6,10
0,1,1,0,0,1982,1,6,14
0,0,1,0,0,1984,0,4,4
0,0,1,0,0,1987,4,3,13
1,1,1,1,0,1983,2,11,25
1,1,1,0,0,1982,3,10,5
1,0,1,0,0,1982,3,7,5
1,0,0,0,1,1984,9,5,10
1,0,1,1,0,1983,2,6,7
1,0,1,0,0,1983,3,5,10
0,0,1,1,0,1982,3,6,11
0,0,1,0,1,1981,1,9,15
0,0,1,0,0,1983,0,4,6
0,0,1,0,0,1982,0,4,5
1,0,1,0,1,1984,5,9,11
1,1,0,0,1,1982,2,8,14
1,1,1,1,0,1981,7,10,11
0,0,1,1,0,1982,3,11,12
1,1,0,0,0,1987,5,11,94
0,1,1,0,0,1982,1,10,21
1,1,1,1,0,1984,3,10,19
1,1,1,1,0,1984,1,10,21
1,1,1,0,0,1983,1,11,6
0,0,1,0,1,1983,2,6,3
1,0,1,0,0,1986,2,3,6
1,1,0,1,0,1982,9,11,13
1,0,1,0,0,1982,3,4,10
1,0,1,0,0,1982,0,4,7
1,0,1,0,0,1982,0,4,7
0,0,1,0,0,1988,0,4,4
1,0,1,0,0,1982,0,3,7
0,0,1,0,0,1983,1,4,4
1,0,1,1,0,1982,5,3,8
0,0,1,0,0,1983,0,3,14
0,1,1,0,0,1982,1,11,22
1,0,0,0,0,1984,1,4,16
0,0,1,0,0,1986,8,4,6
1,1,1,1,0,1984,0,10,12
1,0,1,0,0,1985,2,3,9
0,0,1,1,0,1983,0,6,9
1,0,1,0,1,1985,0,5,7
0,1,1,0,0,1983,0,11,10
1,0,0,0,0,1982,1,4,7
1,0,1,0,0,1983,7,4,7
0,0,1,0,1,1984,2,6,18
0,0,1,0,0,1984,1,4,6
0,0,1,0,0,1983,4,4,5
1,0,0,1,0,1983,2,4,5
1,0,1,0,0,1986,10,3,10
1,1,1,1,0,1984,1,10,15
1,1,1,1,0,1984,2,10,17
1,1,1,1,0,1984,0,10,16
1,1,1,1,0,1984,0,10,16
0,0,1,1,0,1984,2,3,6
0,0,0,0,1,1988,2,11,9
1,0,1,0,0,1983,4,4,6
0,0,1,0,0,1984,1,4,7
0,0,1,0,0,1984,1,3,11
0,0,1,0,0,1989,5,4,6
1,0,0,1,0,1984,5,7,4
0,1,1,0,0,1985,1,11,17
0,0,1,0,0,1983,1,5,4
0,1,0,0,0,1982,0,9,8
0,0,1,0,0,1982,0,8,11
1,0,1,0,0,1983,1,9,13
1,1,0,1,0,1992,12,11,30
0,0,1,0,0,1982,1,8,4
0,0,1,0,0,1983,1,4,3
0,0,1,0,0,1983,0,7,13
0,0,1,0,0,1982,1,5,8
1,1,0,1,0,1983,5,11,10
0,0,0,0,0,1983,0,9,10
1,1,1,1,0,1983,1,8,19
0,0,0,0,0,1984,0,4,7
1,0,1,0,0,1983,0,4,19
0,0,1,0,0,1983,10,5,8
0,0,1,0,0,1983,2,4,14
0,1,0,0,1,1985,1,10,24
1,1,0,0,0,1984,6,11,15
1,1,1,0,0,1982,1,10,6
1,1,1,0,0,1983,2,10,5
1,1,1,1,0,1985,0,6,12
0,0,1,1,0,1982,0,3,7
0,0,1,1,0,1983,0,3,11
0,0,0,1,0,1982,0,3,8
1,0,1,0,0,1983,1,4,4
0,0,1,1,0,1985,0,3,12
0,0,1,0,0,1985,6,4,4
0,0,0,0,0,1983,1,4,7
0,0,1,0,0,1984,5,4,6
1,0,0,1,0,1985,0,4,4
0,0,1,0,0,1984,1,3,7
0,0,1,0,0,1986,7,3,12
0,0,1,1,0,1985,0,1,4
0,0,1,1,0,1986,0,4,10
1,0,0,1,0,1986,0,4,35
0,1,1,0,1,1983,0,1,6
1,0,1,0,1,1983,0,2,10
0,0,1,1,0,1983,0,4,3
0,0,1,1,0,1986,0,3,18
1,1,1,0,1,1983,0,5,2
0,0,1,0,1,1983,0,5,12
0,0,1,1,0,1982,0,3,10
0,0,1,0,0,1985,0,3,13
1,1,0,0,1,1984,2,10,10
1,0,1,0,0,1985,0,3,4
0,0,1,0,1,1985,0,7,16
1,0,0,0,0,1988,3,3,15
0,0,1,1,0,1984,2,4,10
0,0,1,0,0,1983,1,5,1
1,0,1,0,1,1984,2,5,15
0,0,0,1,0,1983,5,4,10
0,0,1,1,0,1983,3,4,10
1,1,0,1,0,1984,7,11,20
0,0,0,0,1,1983,2,10,8
1,0,1,0,0,1985,2,4,5
1,0,1,0,0,1984,0,4,5
1,1,1,1,0,1984,4,11,7
1,1,1,0,1,1982,8,11,13
0,0,1,1,0,1985,0,7,10
0,1,1,0,1,1985,1,10,3
1,1,1,1,0,1982,2,4,13
0,0,1,1,0,1987,3,8,27
0,0,1,1,0,1985,1,4,5
1,0,0,0,1,1983,0,6,6
1,1,1,0,1,1982,12,11,8
0,1,1,1,0,1983,2,10,16
0,0,0,1,0,1983,0,4,7
1,1,1,0,0,1984,5,11,6
1,1,1,1,0,1983,4,7,10
0,0,1,1,0,1984,1,3,23
0,0,1,1,0,1983,2,3,10
0,0,1,0,1,1983,2,3,10
0,1,0,0,0,1983,3,10,9
0,0,1,0,1,1985,0,8,11
1,1,0,0,0,1983,1,11,6
0,0,1,0,1,1984,0,3,7
1,0,1,0,1,1983,2,3,4
0,0,1,0,0,1985,3,2,2
0,0,1,1,0,1985,0,4,7
1,0,0,0,1,1984,0,7,7
0,0,1,1,0,1987,2,2,8
0,0,1,0,0,1986,1,9,10
0,1,1,0,0,1983,0,9,6
0,0,1,1,0,1984,0,4,10
0,1,0,0,1,1983,3,9,12
1,1,1,0,1,1983,1,10,13
0,0,1,1,0,1987,4,3,8
0,0,1,1,0,1987,1,5,10
0,0,1,1,0,1986,0,8,42
1,1,1,0,1,1984,0,10,16
1,1,0,0,1,1982,4,11,5
0,0,0,0,1,1983,0,5,10
0,0,1,1,0,1984,3,4,21
0,1,0,1,0,1984,4,9,8
1,1,0,0,1,1985,1,10,39
0,0,1,0,0,1983,7,4,11
0,0,1,0,0,1987,2,3,9
0,0,0,1,0,1987,3,4,6
1,1,1,1,0,1983,1,10,10
1,1,1,1,0,1985,6,11,27
0,0,1,0,1,1984,0,6,8
0,0,1,1,0,1983,3,3,9
0,0,1,1,0,1986,0,4,12
1,0,0,0,1,1984,1,3,8
0,0,1,1,0,1985,3,3,11
1,0,1,0,1,1984,0,5,8
1,0,1,0,0,1984,3,3,6
1,0,1,0,0,1987,1,3,8
0,1,1,0,0,1984,3,10,22
0,0,1,0,1,1987,0,4,11
0,0,1,0,1,1985,2,4,10
1,0,0,0,1,1987,2,4,7
1,0,1,0,1,1986,6,11,7
0,1,0,0,0,1983,1,11,14
0,0,0,1,0,1987,0,5,27
0,1,0,0,1,1984,0,5,10
1,1,1,0,0,1985,2,8,11
1,1,0,0,1,1984,5,10,5
0,1,0,0,1,1983,6,10,7
1,0,0,0,0,1987,4,11,3
0,0,1,1,0,1986,4,5,10
1,0,1,0,0,1984,2,4,1
0,1,1,0,0,1983,6,3,16
1,0,1,0,1,1985,1,5,5
1,0,1,0,0,1984,0,4,3
0,1,1,0,0,1984,3,3,13
1,0,1,0,1,1985,0,7,10
1,0,1,0,0,1984,0,4,13
1,0,1,0,1,1984,3,5,16
1,1,1,1,0,1983,3,8,4
1,0,0,0,1,1982,0,8,10
1,1,0,0,1,1982,2,8,6
1,1,1,0,0,1984,0,11,13
1,0,1,0,1,1983,1,6,10
1,1,1,0,0,1988,6,5,20
1,0,1,0,0,1984,0,7,3
1,1,1,1,0,1986,0,9,10
0,0,0,0,0,1985,0,4,15
1,1,0,0,0,1985,6,9,10
1,0,1,0,1,1983,3,5,10
0,0,1,0,0,1983,0,7,3
0,0,1,0,1,1985,7,5,16
1,1,1,1,0,1984,3,10,17
1,1,1,1,0,1984,5,10,16
1,1,0,0,1,1984,10,11,36
0,0,0,1,0,1984,2,8,27
0,0,1,0,0,1984,0,4,6
0,1,1,1,0,1983,5,10,10
1,1,1,0,0,1991,17,9,39
1,0,1,0,0,1983,5,4,2
1,0,1,0,0,1984,3,4,11
0,0,1,0,1,1986,1,5,8
1,0,1,0,0,1984,0,3,6
1,0,0,0,0,1982,2,3,5
0,1,0,1,0,1986,14,9,18
0,1,0,1,0,1984,2,10,21
0,0,0,1,0,1984,0,4,3
0,1,1,1,0,1984,0,11,10
1,1,0,0,0,1983,2,6,10
0,0,1,0,0,1985,2,4,5
1,1,1,1,0,1990,9,5,26
1,1,0,0,1,1986,2,11,12
1,1,0,0,0,1992,14,11,17
1,1,0,0,0,1990,5,11,31
0,1,1,1,0,1983,1,6,7
1,1,1,1,0,1987,7,11,14
0,0,0,0,0,1984,5,5,16
1,1,1,1,0,1983,0,11,17
1,1,1,0,0,1983,4,9,8
1,0,1,0,0,1985,7,4,10
1,1,1,1,0,1984,5,9,11
0,0,1,0,0,1982,2,4,13
1,0,0,1,0,1985,14,3,7
0,1,1,1,0,1985,3,11,12
1,1,1,0,1,1983,2,11,10
1,1,1,0,0,1983,1,6,17
1,0,0,1,0,1983,2,3,10
1,0,1,0,0,1984,1,4,7
0,0,1,1,0,1984,2,5,10
0,0,1,0,0,1987,3,3,2
1,1,1,0,1,1986,4,9,10
0,0,0,1,0,1986,1,4,8
0,1,1,1,0,1982,1,11,11
1,1,0,1,0,1991,16,11,26
0,0,1,0,0,1983,2,4,15
1,1,0,0,0,1983,3,7,10
0,1,1,1,0,1983,6,11,7
1,0,0,1,0,1985,6,5,15
0,1,1,0,0,1984,1,6,7
0,0,1,1,0,1986,5,5,6
1,0,1,0,0,1985,4,3,14
0,1,0,0,0,1984,4,9,10
0,0,1,0,0,1990,3,4,11
0,0,1,0,0,1985,2,4,12
0,0,1,1,0,1984,0,6,10
0,0,1,0,0,1983,0,4,6
1,0,0,0,0,1984,2,3,6
0,0,1,0,0,1985,5,4,11
1,1,1,0,1,1984,5,11,16
1,0,1,0,0,1985,3,3,11
0,0,1,0,0,1984,2,4,8
1,1,0,1,0,1985,11,11,11
0,0,1,0,0,1984,4,4,23
1,1,1,0,0,1985,3,6,8
0,0,0,1,0,1984,4,11,6
1,0,1,0,0,1987,8,4,15
0,0,0,1,0,1987,1,6,9
0,0,1,0,0,1987,7,4,6
0,0,1,0,0,1985,2,4,7
1,0,1,0,0,1983,2,8,14
0,0,1,0,0,1983,0,5,2
0,1,0,1,0,1984,0,11,6
1,0,1,0,0,1983,5,5,9
1,0,1,0,0,1984,1,7,7
0,1,1,0,0,1983,0,11,20
1,0,1,0,0,1983,0,7,3
1,0,1,0,0,1984,4,3,9
0,0,1,0,0,1983,3,4,7
1,1,0,1,0,1984,12,10,11
0,0,1,0,0,1984,0,3,8
0,0,1,0,0,1988,0,4,4
0,0,1,0,0,1984,4,5,83
1,0,1,0,0,1983,0,6,10
0,0,1,0,0,1984,0,3,8
1,1,0,0,0,1983,1,6,38
1,0,0,0,1,1986,1,4,11
1,0,0,0,1,1986,0,7,8
0,0,1,1,0,1987,0,5,8
0,1,1,0,1,1983,0,8,9
0,0,1,1,0,1987,0,1,13
0,1,1,0,0,1985,0,6,10
1,1,1,1,0,1984,0,9,22
1,1,1,1,0,1986,0,9,125
1,1,0,0,1,1991,0,8,7
0,0,1,1,0,1985,0,4,7
1,0,0,1,0,1984,0,4,16
0,1,0,1,0,1984,0,5,22
1,0,0,1,0,1984,0,9,50
0,0,1,1,0,1987,0,9,22
0,0,1,1,0,1987,0,3,12
0,1,0,0,1,1984,0,8,5
1,0,1,0,1,1984,0,2,21
1,0,1,0,1,1991,0,6,16
1,1,1,0,0,1985,0,5,5
0,0,0,1,0,1988,0,3,6
1,0,1,0,1,1985,0,4,6
1,0,1,0,1,1984,0,6,13
0,1,0,0,1,1986,1,11,12
0,0,1,1,0,1988,4,4,8
0,0,0,0,1,1985,1,3,9
0,0,1,1,0,1988,1,4,4
0,0,1,0,1,1984,2,5,3
0,0,1,1,0,1985,2,3,10
0,1,1,1,0,1984,1,5,9
1,1,1,0,1,1983,4,10,6
1,0,1,0,1,1986,1,7,14
0,0,0,1,0,1984,2,4,4
1,0,0,0,0,1985,0,3,9
1,1,1,0,0,1987,3,4,15
0,0,1,0,1,1985,1,5,1
0,1,1,0,0,1986,0,11,11
0,0,0,0,1,1984,0,1,4
1,1,1,0,0,1984,4,3,13
0,0,0,0,1,1984,0,10,8
1,0,1,0,1,1985,1,4,5
0,0,1,1,0,1989,3,4,6
1,0,0,0,0,1985,0,11,8
1,1,0,0,1,1984,8,11,2
0,0,1,1,0,1984,2,4,15
0,0,1,0,0,1987,1,3,4
1,0,1,0,1,1985,1,5,5
0,0,1,1,0,1987,0,3,11
0,0,1,0,1,1986,3,9,5
1,1,0,1,0,1985,0,6,10
1,0,1,0,1,1987,0,8,6
0,0,1,1,0,1987,2,3,10
1,0,1,0,0,1984,2,6,3
1,0,0,0,1,1984,0,6,10
1,0,0,0,1,1983,0,6,10
1,0,0,0,1,1983,0,6,10
1,0,1,1,0,1985,5,9,2
0,0,1,1,0,1986,5,4,7
0,0,1,0,0,1985,1,2,7
1,1,1,0,1,1984,4,10,9
0,0,1,1,0,1984,0,3,2
0,0,1,0,1,1984,2,7,8
0,0,1,0,0,1984,0,4,2
0,0,1,0,0,1988,1,3,9
1,0,1,0,0,1989,5,8,19
1,0,1,0,0,1985,0,3,12
1,0,0,0,1,1986,1,9,9
0,0,1,1,0,1984,1,3,11
1,0,1,0,1,1986,1,10,14
1,0,0,1,0,1988,1,4,4
1,1,1,0,1,1985,3,10,14
0,0,1,1,0,1988,2,4,18
1,0,1,0,0,1985,1,3,18
0,0,1,1,0,1987,0,4,10
1,1,0,0,1,1985,1,11,4
1,1,0,0,1,1989,4,10,12
1,1,1,0,1,1984,4,8,5
0,1,0,0,0,1984,3,9,13
1,1,0,0,1,1985,2,10,8
0,0,1,1,0,1985,0,6,20
0,0,1,1,0,1987,3,5,6
1,0,1,0,0,1987,4,3,6
0,0,1,0,1,1986,5,4,10
1,1,1,0,1,1985,3,11,3
0,0,0,0,1,1984,0,5,4
1,1,1,1,0,1986,5,11,8
1,0,0,0,1,1984,0,3,15
0,0,1,0,1,1985,2,5,1
0,0,0,0,0,1988,0,4,25
0,0,1,1,0,1984,2,3,5
1,0,1,0,0,1989,5,8,9
1,0,1,0,1,1987,3,9,8
0,0,0,0,0,1985,1,3,18
0,0,1,0,1,1986,0,6,5
1,1,1,0,0,1985,1,11,8
0,0,0,1,0,1987,0,3,5
1,1,0,0,1,1985,5,11,5
0,0,1,0,1,1985,5,6,4
1,0,0,0,1,1985,1,11,5
0,0,1,1,0,1986,4,4,6
0,0,1,0,1,1986,0,4,3
0,0,0,0,0,1986,0,4,6
0,0,1,0,0,1985,0,5,16
0,0,0,1,0,1987,1,3,17
0,0,1,1,0,1984,1,4,8
1,0,1,0,1,1984,0,5,21
0,0,1,0,0,1988,5,4,13
1,0,1,0,0,1986,1,4,6
0,0,1,1,0,1984,2,4,12
0,0,1,0,0,1988,3,3,13
0,0,1,0,1,1987,2,6,9
0,1,0,1,0,1984,0,5,7
0,1,1,0,1,1989,7,10,57
0,0,1,1,0,1986,13,4,5
1,0,1,0,0,1985,1,3,6
0,0,1,0,0,1989,1,4,7
1,1,0,0,1,1985,9,10,4
0,0,1,1,0,1988,0,3,7
0,0,1,0,0,1987,7,4,4
1,1,1,0,1,1985,11,11,10
1,0,0,0,0,1986,2,6,6
0,0,1,1,0,1988,3,8,7
1,0,1,0,0,1985,3,8,4
1,0,1,0,0,1987,3,3,3
1,0,0,0,0,1988,0,4,5
0,0,1,0,0,1986,0,3,4
1,0,1,1,0,1986,6,4,53
1,1,1,1,0,1985,3,11,4
1,0,1,0,1,1986,1,3,10
1,0,1,1,0,1989,5,3,12
0,1,0,1,0,1985,1,11,1
1,0,0,0,1,1986,1,11,10
1,0,1,0,0,1987,0,3,1
1,1,1,1,0,1984,6,11,12
0,0,1,1,0,1986,0,3,15
1,1,1,0,1,1988,0,5,8
1,0,0,0,0,1986,1,3,8
0,1,1,0,0,1986,8,3,9
1,1,0,0,0,1988,11,10,16
1,0,1,0,1,1984,4,5,5
1,1,1,0,1,1984,2,11,14
1,0,1,0,0,1985,4,6,8
1,0,0,0,1,1984,5,6,9
1,0,1,0,0,1987,4,6,10
1,1,0,0,0,1988,2,6,8
1,1,0,0,0,1987,2,11,14
1,1,1,0,1,1985,1,5,16
1,0,1,0,0,1985,1,3,24
1,1,0,0,0,1988,4,10,11
0,1,1,0,0,1985,0,7,7
0,0,0,0,0,1988,0,5,18
1,1,0,0,1,1984,0,4,10
0,1,1,0,0,1985,2,11,13
1,1,0,0,0,1985,10,10,11
1,1,1,0,1,1985,17,11,23
1,0,0,1,0,1985,8,6,16
1,1,0,1,0,1986,17,11,14
0,0,1,0,0,1985,1,3,13
1,1,1,0,1,1985,9,11,12
0,0,0,0,0,1989,4,4,13
0,1,0,0,1,1989,8,11,25
0,1,1,0,1,1985,1,8,16
0,0,0,1,0,1986,2,5,12
1,0,1,0,1,1985,3,11,8
0,0,1,0,0,1986,0,3,9
1,0,1,0,0,1985,1,4,5
1,1,0,0,0,1986,5,3,16
0,1,0,1,0,1986,19,11,18
1,1,0,1,0,1986,2,7,8
0,0,1,1,0,1987,2,8,14
1,0,1,0,1,1984,1,10,10
1,1,1,1,0,1984,0,11,31
1,1,0,1,0,1986,10,11,22
0,1,1,0,0,1985,5,3,10
0,0,1,0,0,1985,1,8,14
0,1,1,0,0,1984,1,8,6
0,0,0,0,0,1985,2,3,5
1,1,1,1,0,1986,14,10,15
1,1,0,0,1,1986,9,9,13
0,0,1,0,0,1985,4,3,5
0,0,1,1,0,1984,2,5,3
0,0,1,1,0,1987,2,6,4
0,1,1,1,0,1985,0,11,6
1,0,0,0,1,1987,1,10,8
1,0,1,0,0,1986,1,5,8
0,0,1,0,0,1985,7,3,7
0,1,1,0,0,1988,1,4,13
0,0,1,0,0,1987,1,3,15
1,0,1,1,0,1987,4,4,19
1,0,1,0,0,1987,1,3,5
1,1,1,0,1,1987,13,10,16
1,1,0,1,0,1988,8,11,7
1,1,0,1,0,1990,10,11,14
1,1,0,1,0,1990,16,11,11
1,1,0,0,1,1988,2,11,11
1,1,0,1,0,1985,3,4,10
0,1,0,0,0,1990,5,11,13
1,1,1,0,0,1984,8,10,18
1,0,0,0,1,1987,3,11,10
0,0,1,1,0,1988,1,5,18
1,0,1,0,0,1986,4,3,12
1,0,1,0,0,1986,4,3,4
0,0,1,1,0,1988,5,4,5
1,0,0,0,0,1987,0,4,6
0,0,0,1,0,1986,6,11,28
1,1,0,1,0,1988,27,11,26
0,1,1,0,1,1984,0,7,6
0,0,1,0,0,1986,0,3,6
0,0,1,0,0,1987,2,3,11
0,1,0,0,0,1987,2,7,9
0,0,1,0,0,1986,7,3,3
0,1,0,1,0,1985,1,10,6
0,0,1,1,0,1985,3,5,8
0,0,0,1,0,1987,3,7,16
0,0,1,0,0,1987,2,3,4
0,0,1,0,0,1987,0,3,6
0,0,1,0,0,1985,1,3,4
0,0,1,1,0,1985,3,5,11
1,0,1,0,1,1985,2,6,10
0,0,1,0,0,1984,3,4,18
1,1,0,0,0,1983,2,10,7
0,0,1,1,0,1988,0,5,14
1,0,0,0,0,1985,1,3,4
1,0,0,0,0,1984,0,4,4
0,0,1,0,0,1984,0,4,6
0,1,0,0,0,1984,1,11,4
1,0,1,1,0,1984,0,4,4
1,1,0,1,0,1989,14,11,34
0,0,1,1,0,1989,2,5,16
0,0,1,0,0,1987,1,3,11
0,1,1,0,0,1985,1,10,6
1,0,1,0,0,1985,4,8,12
0,1,0,0,0,1984,0,11,5
0,0,1,0,0,1984,1,7,7
0,0,1,0,0,1985,0,6,9
1,0,0,0,0,1986,2,3,5
0,0,0,0,0,1985,1,7,12
1,1,1,1,0,1989,7,11,10
0,0,1,0,0,1989,2,11,5
1,0,0,0,1,1984,0,8,3
1,1,1,0,1,1985,11,11,17
0,1,1,0,1,1984,0,11,19
0,0,1,0,0,1989,2,5,8
0,0,0,0,1,1986,0,7,19
0,0,1,1,0,1986,0,4,10
0,1,0,0,0,1985,6,1,22
1,1,0,1,0,1985,0,10,16
0,1,0,0,0,1985,0,1,16
1,0,0,1,0,1985,0,5,9
1,1,0,1,0,1986,0,10,8
0,0,1,1,0,1987,0,4,13
1,0,0,1,0,1985,0,4,12
1,1,1,0,0,1986,0,8,11
1,0,0,1,0,1988,0,4,10
1,1,1,1,0,1986,0,9,14
1,1,0,0,1,1985,0,9,10
1,1,0,1,0,1988,0,5,12
1,0,0,0,1,1985,0,9,21
1,1,0,1,0,1986,0,7,15
1,0,1,1,0,1987,0,3,27
0,0,1,1,0,1986,0,4,3
1,1,1,0,0,1988,5,6,6
0,1,1,0,0,1985,0,10,9
1,1,0,1,0,1993,0,10,64
1,0,1,0,0,1987,1,4,2
1,1,0,0,0,1988,3,9,5
0,0,0,0,0,1985,0,3,17
0,0,1,0,1,1984,0,4,4
1,1,1,1,0,1985,6,8,10
0,0,1,0,0,1993,5,3,14
1,1,1,0,0,1987,2,5,20
0,0,1,1,0,1985,2,3,10
0,0,1,1,0,1987,0,3,13
0,0,1,1,0,1988,0,5,10
0,0,1,1,0,1986,3,4,17
1,1,1,0,0,1987,25,8,30
0,0,1,1,0,1985,0,4,15
1,0,1,0,0,1989,2,3,10
